1,robot,Robot Shaped Hat&Scarf,children/hat/small/hat1-small.jpg,children/hat/big/hat1-big.png,0,15,16,0,0,0,0
2,owl,owl with star hat&scarf,children/hat/small/owl-small.jpg,children/hat/big/owl-big.png,0,14.8,15,15.5,16,0,0
3,monkey,cute monkey hat&scarf,children/hat/small/monkey-small.jpg,children/hat/big/monkey-big.png,0,0,16,16.5,16.8,0,0
4,bee,lillte bee hat&scarf,children/hat/small/bee-small.jpg,children/hat/big/bee-big.png,0,15.8,16.3,0,0,0,0
5,cute_hat,cute soft velboa hat,children/hat/small/CUTEBABY-small.jpg,children/hat/big/CUTEBABY-BIG.png,0,0,12,13,0,0,0
6,dinosaur,cool dinosaur hat,children/hat/small/dinosaur-small.jpg,children/hat/big/dinosaur-big.png,0,9.9,9.9,9.9,9.9,0,0
7,bear ,cute bear hat&scarf,children/hat/small/bear-small.jpg,children/hat/big/bear-big.png,0,19.3,19.8,0,0,0,0
8,baseball,baseball hat&scarf,children/hat/small/baseball-small.jpg,children/hat/big/baseball-big.png,0,17.5,18.3,0,0,0,0
9,cat,little cat bat&scarf,children/hat/small/cat-small.jpg,children/hat/big/cat-big.png,0,17.8,18.5,0,0,0,0
10,rabbit,cute rabiite hat,children/hat/small/rabbit-small.jpg,children/hat/big/rabbit-big.png,9.9,9.9,9.9,9.9,0,0,0
11,moustache,cool moustacke hat,children/hat/small/moustache-small.jpg,children/hat/big/moustache-big.png,0,9.9,9.9,9.9,9.9,0,0
12,panda,cute panda hat,children/hat/small/panda-small.jpg,children/hat/big/panda-big.png,0,9.9,9.9,9.9,0,0,0
13,devil,lillte devil hat,children/hat/small/devil-small.jpg,children/hat/big/devil-big.png,0,0,0,9.9,9.9,0,0
